,Institution,CNES Code,Number of Equipments,Accept SUS patients?,Equipment Name,CNPJ,Street,Zip Code,Number,Complete Address,Institution Type,Specialization
10,CENTRO DE PROCEDIMENTO E APOIO ZONA SUL,7823339,1,N,MAMOGRAFO COMPUTADORIZADO,43202472001888,AVENIDA ADOLFO PINHEIRO,04733300,1735,AVENIDA ADOLFO PINHEIRO 1735,CLINICA/CENTRO DE ESPECIALIDADE,OUTROS
11,CENTRO MEDICO LIBERDADE HOSPITAL NIPO BRASILEIRO,3893723,1,Y,MAMOGRAFO COMPUTADORIZADO,60992427000900,R FAGUNDES,01508030,121,R FAGUNDES 121,CLINICA/CENTRO DE ESPECIALIDADE,OUTROS
12,CIMERMAN ANALISES CLINICAS UNIDADE JD PAULISTA,3042472,1,N,MAMOGRAFO COMPUTADORIZADO,64181217000128,RUA JOSE MARIA LISBOA,01423001,1163,RUA JOSE MARIA LISBOA 1163,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
13,CRUZ AZUL DE SAO PAULO AMBULATORIO ITAQUERA,6312853,1,N,MAMOGRAFO COMPUTADORIZADO,62106505001245,SAO TEODORO,08290005,1452,SAO TEODORO 1452,CLINICA/CENTRO DE ESPECIALIDADE,OUTROS
14,DAITEBI SERVICOS MEDICOS,7457677,1,N,MAMOGRAFO COMPUTADORIZADO,08512254000109,AV NOSSA SENHORA DO SABARA,04685006,2555,AV NOSSA SENHORA DO SABARA 2555,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
15,DIAGNOSTIKA UND DIAG PAT CIR E CITOL,3443833,2,Y,MAMOGRAFO COMPUTADORIZADO,19378769017141,RUA FREI CANECA,01307003,1119,RUA FREI CANECA 1119,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
16,DIMEDI,3306704,1,N,MAMOGRAFO COMPUTADORIZADO,54537337000161,RUA FERNANDO PINHEIRO,03308060,97 105,RUA FERNANDO PINHEIRO 97 105,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
17,FEMME LABORATORIO DA MULHER,7593589,1,N,MAMOGRAFO COMPUTADORIZADO,43721026000212,RUA DESEMBARGADOR ELISEU GUILHERME,04004030,200,RUA DESEMBARGADOR ELISEU GUILHERME 200,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
18,FLEURY MEDICINA E SAUDE UNID JAU,9199942,1,N,MAMOGRAFO COMPUTADORIZADO,60840055036080,ALAMEDA JAU,01420000,1725,ALAMEDA JAU 1725,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
19,FLEURY MEDICINA E SAUDE UNIDADE ANALIA FRANCO II,9186816,1,N,MAMOGRAFO COMPUTADORIZADO,60840055029890,RUA ANTONIO DE BARROS,03401001,2203,RUA ANTONIO DE BARROS 2203,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
20,FLEURY MEDICINA E SAUDE UNIDADE BRASIL II,3073351,1,N,MAMOGRAFO COMPUTADORIZADO,60840055001707,AV BRASIL,01431001,1891,AV BRASIL 1891,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
21,FLEURY MEDICINA E SAUDE UNIDADE BRAZ LEME,7426003,1,N,MAMOGRAFO COMPUTADORIZADO,60840055031525,AV BRAZ LEME,02022010,2011,AV BRAZ LEME 2011,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
22,FLEURY MEDICINA E SAUDE UNIDADE CAMPO BELO,6485324,1,N,MAMOGRAFO COMPUTADORIZADO,60840055003408,AV VEREADOR JOSE DINIZ,04603003,3457,AV VEREADOR JOSE DINIZ 3457,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
23,FLEURY MEDICINA E SAUDE UNIDADE HIGIENOPOLIS,6255590,1,N,MAMOGRAFO COMPUTADORIZADO,60840055002428,RUA MATO GROSSO,01239040,306,RUA MATO GROSSO 306,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
24,FLEURY MEDICINA E SAUDE UNIDADE ITAIM,3073580,1,N,MAMOGRAFO COMPUTADORIZADO,60840055002347,AVENIDA JUSCELINO KUBITSCHECK,04543011,1117,AVENIDA JUSCELINO KUBITSCHECK 1117,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
25,FLEURY MEDICINA E SAUDE UNIDADE MORUMBI,9209204,1,N,MAMOGRAFO COMPUTADORIZADO,60840055029628,AVENIDA GIOVANNI GRONCHI,05651002,3108,AVENIDA GIOVANNI GRONCHI 3108,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
26,FLEURY MEDICINA E SAUDE UNIDADE PARAISO,3066754,1,N,MAMOGRAFO COMPUTADORIZADO,60840055000484,RUA CINCINATO BRAGA,01333010,232,RUA CINCINATO BRAGA 232,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
27,FLEURY MEDICINA E SAUDE UNIDADE REPUBLICA DO LIBANO II,7722265,1,N,MAMOGRAFO COMPUTADORIZADO,60840055032505,AVENIDA REPUBLICA DO LIBANO,04501000,561,AVENIDA REPUBLICA DO LIBANO 561,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
28,FLEURY MEDICINA E SAUDE UNIDADE REPUBLICA DO LIBANO III,3173070,1,N,MAMOGRAFO COMPUTADORIZADO,60840055003238,AV REPUBLICA DO LIBANO,04502001,990,AV REPUBLICA DO LIBANO 990,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
29,FLEURY MEDICINA E SAUDE UNIDADE REPUBLICA I,3073610,1,N,MAMOGRAFO COMPUTADORIZADO,60840055001022,AVENIDA REPUBLICA DO LIBANO,04502000,635,AVENIDA REPUBLICA DO LIBANO 635,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
30,FLEURY MEDICINA E SAUDE UNIDADE ROCHAVERA,3424332,1,N,MAMOGRAFO COMPUTADORIZADO,60840055001960,AV DAS NACOES UNIDAS,04794000,14171,AV DAS NACOES UNIDAS 14171,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
31,FLEURY MEDICINA E SAUDE UNIDADE SHOPPING JARDIM SUL,3411036,1,N,MAMOGRAFO COMPUTADORIZADO,60840055002002,AV GIOVANNI GRONCHI,05724003,5819,AV GIOVANNI GRONCHI 5819,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
32,FLEURY MEDICINA E SAUDE UNIDADE SUMARE,5975239,1,N,MAMOGRAFO COMPUTADORIZADO,60840055001618,AV SUMARE,05016110,1276,AV SUMARE 1276,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
33,FLEURY MEDICINA E SAUDE UNIDADE VILLA LOBOS,3073629,1,N,MAMOGRAFO COMPUTADORIZADO,60840055000212,RUA CASTRO DELGADO,05465010,188,RUA CASTRO DELGADO 188,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
34,GHELFOND DIAGNOSTICOS UNIDADE IPIRANGA,7431996,1,Y,MAMOGRAFO COMPUTADORIZADO,58625344002039,R DOUTOR GENTIL DE MOURA,04278000,412,R DOUTOR GENTIL DE MOURA 412,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
35,GIMI INSTITUTO DE RADIOLOGIA E ULTRASSONOGRAFICA,9270477,1,N,MAMOGRAFO COMPUTADORIZADO,58800558000301,AVENDA POMPEIA,05022000,634,AVENDA POMPEIA 634,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
36,GIP MEDICINA DIAGNOSTICA,7860285,1,N,MAMOGRAFO COMPUTADORIZADO,43721026000484,AVENIDA IBIRAPUERA,04029200,2401,AVENIDA IBIRAPUERA 2401,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
37,HOSP DIA DA RHC SAO MATEUS DR HENRIQUE C GONCALVES,6391869,1,Y,MAMOGRAFO COMPUTADORIZADO,,RUA AUGUSTO FERREIRA RAMOS,03947030,9,RUA AUGUSTO FERREIRA RAMOS 9,HOSPITAL/DIA - ISOLADO,
38,HOSP MUN GILSON DE CASSIA MARQUES DE CARVALHO,7711980,1,Y,MAMOGRAFO COMPUTADORIZADO,46392148005774,AVENIDA SANTA CATARINA,04378200,2785,AVENIDA SANTA CATARINA 2785,HOSPITAL GERAL,
39,HOSPITAL DIA DA REDE HORA CERTA CIDADE ADEMAR,2751925,1,Y,MAMOGRAFO COMPUTADORIZADO,,RUA CORREGO AZUL,04463010,433,RUA CORREGO AZUL 433,HOSPITAL/DIA - ISOLADO,
40,HOSPITAL HELIOPOLIS UNIDADE DE GESTAO ASSISTENCIAL I SP,2066572,1,Y,MAMOGRAFO COMPUTADORIZADO,46374500011552,R CONEGO XAVIER,04231030,276,R CONEGO XAVIER 276,HOSPITAL GERAL,
41,HOSPITAL ISRAELITA ALBERT EINSTEIN,2058391,2,N,MAMOGRAFO COMPUTADORIZADO,60765823000130,AV ALBERT EINSTEIN,05652900,S/N,AV ALBERT EINSTEIN S/N,HOSPITAL GERAL,
42,HOSPITAL NIPO BRASILEIRO,2089777,1,Y,MAMOGRAFO COMPUTADORIZADO,60992427000650,RUA PISTOIA,02189000,100,RUA PISTOIA 100,HOSPITAL GERAL,
43,HOSPITAL SAO JOAQUIM BENEFICENCIA PORTUGUESA,2080575,1,Y,MAMOGRAFO COMPUTADORIZADO,61599908000158,RUA MAESTRO CARDIM,01323001,769,RUA MAESTRO CARDIM 769,HOSPITAL GERAL,
44,HOSPITAL SIRIO LIBANES,2079127,2,N,MAMOGRAFO COMPUTADORIZADO,61590410000124,R DONA ADMA JAFET,01308050,91,R DONA ADMA JAFET 91,HOSPITAL GERAL,
45,HOSPITAL SIRIO LIBANES UNIDADE BRASIL,6866913,1,N,MAMOGRAFO COMPUTADORIZADO,61590410000477,AV BRASIL,01431000,915,AV BRASIL 915,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
46,HOSPITAL SIRIO LIBANES UNIDADE ITAIM,6729150,1,N,MAMOGRAFO COMPUTADORIZADO,61590410000396,R JOAQUIM FLORIANO,04534011,533,R JOAQUIM FLORIANO 533,HOSPITAL/DIA - ISOLADO,
47,INSTITUTO DO CANCER DO ESTADO DE SAO PAULO,6123740,1,Y,MAMOGRAFO COMPUTADORIZADO,46374500016430,AV DR ARNALDO,01246000,251,AV DR ARNALDO 251,HOSPITAL ESPECIALIZADO,ONCOLOGIA
48,INSTITUTO PRISMA IP,7259859,1,N,MAMOGRAFO COMPUTADORIZADO,06312545000110,RUA FRANCISCO MARENGO,03313001,2043,RUA FRANCISCO MARENGO 2043,CLINICA/CENTRO DE ESPECIALIDADE,OUTROS
49,KOUROS MEDICINA DIAGNOSTICA,6435807,1,N,MAMOGRAFO COMPUTADORIZADO,61844783000184,RUA FRANCISCA MIQUELINA,01316000,248,RUA FRANCISCA MIQUELINA 248,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
50,LAPACOR INSTITUTO KENCIS DE MEDICINA DIAGMAIS,3149110,1,N,MAMOGRAFO COMPUTADORIZADO,49308893000126,RUA BRIGADEIRO GAVIAO PEIXOTO,05078000,389,RUA BRIGADEIRO GAVIAO PEIXOTO 389,CLINICA/CENTRO DE ESPECIALIDADE,OUTROS
51,PREVENT SENIOR TATUAPE,9073744,2,N,MAMOGRAFO COMPUTADORIZADO,00461479004312,RUA PADRE ESTEVAO PERNET,03315000,551,RUA PADRE ESTEVAO PERNET 551,CLINICA/CENTRO DE ESPECIALIDADE,OUTROS
52,SALOMAO E ZOPPI MEDICINA DIAGNOSTICA CONSOLACAO,7552904,0,N,MAMOGRAFO COMPUTADORIZADO,45796554001408,AVENIDA ANGELICA,01227200,2251,AVENIDA ANGELICA 2251,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
53,SALOMAO E ZOPPI MEDICINA DIAGNOSTICA IBIRAPUERA,7033486,1,N,MAMOGRAFO COMPUTADORIZADO,45796554001238,AVENIDA DIVINO SALVADOR,04078013,856,AVENIDA DIVINO SALVADOR 856,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
54,SALOMAO E ZOPPI MEDICINA DIAGNOSTICA LAPA,7835337,1,N,MAMOGRAFO COMPUTADORIZADO,45796554001823,RUA CERRO CORRA,05061200,1044,RUA CERRO CORRA 1044,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
55,SALOMAO E ZOPPI MEDICINA DIAGNOSTICA MOEMA,3187764,1,N,MAMOGRAFO COMPUTADORIZADO,45796554000266,RUA ARAGUARI,04514041,552,RUA ARAGUARI 552,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
56,SALOMAO E ZOPPI MEDICINA DIAGNOSTICA MORUMBI,5255414,1,N,MAMOGRAFO COMPUTADORIZADO,45796554000347,R ALGEMESI,05717190,76,R ALGEMESI 76,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
57,SALOMAO E ZOPPI MEDICINA DIAGNOSTICA PARAISO,7095031,3,N,MAMOGRAFO COMPUTADORIZADO,45796554001076,RUA CORREIA DIAS,04104000,40,RUA CORREIA DIAS 40,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
58,SALOMAO E ZOPPI MEDICINA DIAGNOSTICA PORTAL DO MORUMBI,7079060,1,N,MAMOGRAFO COMPUTADORIZADO,45796554001157,RUA PROFESSOR HILARIO VEIGA DE CARVALHO,05641070,312,RUA PROFESSOR HILARIO VEIGA DE CARVALHO 312,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
59,SALOMAO E ZOPPI MEDICINA DIAGNOSTICA SANTANA,7557345,1,N,MAMOGRAFO COMPUTADORIZADO,45796554001742,AVENIDA LEONCIO DE MAGALHAES,02042011,1133,AVENIDA LEONCIO DE MAGALHAES 1133,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
60,SALOMAO E ZOPPI MEDICINA DIAGNOSTICA TATUAPE,7457723,1,N,MAMOGRAFO COMPUTADORIZADO,45796554001580,PRACA SILVIO ROMERO,03323000,191,PRACA SILVIO ROMERO 191,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
61,SALOMAO E ZOPPI MEDICINA DIAGNOSTICA VILA MARIANA,7557353,1,N,MAMOGRAFO COMPUTADORIZADO,45796554001661,RUA DOUTOR DIOGO DE FARIA,04037003,772,RUA DOUTOR DIOGO DE FARIA 772,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
62,SALUS MEDICINA DIAGNOSTICA,9228187,1,N,MAMOGRAFO COMPUTADORIZADO,11216624000248,AV RAIMUNDO PEREIRA DE MAGALHAES,02938000,5762,AV RAIMUNDO PEREIRA DE MAGALHAES 5762,POLICLINICA,
63,SANTA CASA DE SAO PAULO HOSPITAL CENTRAL SAO PAULO,2688689,2,Y,MAMOGRAFO COMPUTADORIZADO,62779145000190,RUA DR CESARIO MOTTA JR,01221020,112,RUA DR CESARIO MOTTA JR 112,HOSPITAL GERAL,
64,SAUDIMAGEM CLINICA MEDICA,9036245,1,N,MAMOGRAFO COMPUTADORIZADO,24585860000100,RUA BARAO DE DUPRAT,04743060,250,RUA BARAO DE DUPRAT 250,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
65,SR DIAGNOSTICOS,7496575,1,N,MAMOGRAFO COMPUTADORIZADO,18402822000164,RUA SIRIA,03086040,100,RUA SIRIA 100,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
66,UBS UNIAO DAS VILAS DE TAIPAS,2788667,1,Y,MAMOGRAFO COMPUTADORIZADO,,AV ELISIO TEIXEIRA LEITE,02810000,7703,AV ELISIO TEIXEIRA LEITE 7703,CENTRO DE SAUDE/UNIDADE BASICA,
67,UNID AVANCADA EINSTEIN JARDINS,3424561,1,N,MAMOGRAFO COMPUTADORIZADO,60765823000644,AV BRASIL,01431000,S/N,AV BRASIL S/N,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
68,UNIDADE AVANCADA EINSTEIN PERDIZES,6569757,1,N,MAMOGRAFO COMPUTADORIZADO,60765823001292,RUA APIACAS,05017020,85,RUA APIACAS 85,HOSPITAL GERAL,
69,VAS RADIOLOGIA,7464797,1,N,MAMOGRAFO COMPUTADORIZADO,08731396000159,RUA BOM SUCESSO,03305000,348,RUA BOM SUCESSO 348,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),
